"","mean","sd","2.5%","50%","97.5%","Rhat","n.eff"
"corr_chol4[2,1]",0.586475280860544,0.225769877384026,0.0435314744689471,0.633688241400469,0.898380891878417,1,2229
"corr_chol4[2,2]",0.762895302789443,0.151897560474132,0.439217224538847,0.773588529149977,0.995352178441917,1,1753
"corr_chol5[1,1]",1,0,1,1,1,NA,NA
"corr_chol5[1,2]",0,0,0,0,0,NA,NA
"corr_chol5[2,1]",-0.184896195300892,0.54995600863225,-0.963462605983117,-0.26144746703362,0.863433658086007,1,2279
"corr_chol5[2,2]",0.784949651088121,0.217372493730053,0.255845295878424,0.86224390688407,0.999683022780123,1.01,1116
"sigma_vec[1,1]",0.247590799078366,0.0690576397283292,0.15164256857326,0.235359678746595,0.417277608017882,1,1689
"sigma_vec[1,2]",0.246349562188521,0.0751159777055385,0.136460474567713,0.232906823980982,0.426504617631974,1,3712
"sigma_vec[2,1]",0.315247733026048,0.0873788285866192,0.193133621932494,0.300287576889124,0.529706088592204,1,6255
"sigma_vec[2,2]",0.217364340782399,0.0771642503562694,0.096143642581911,0.209223672682007,0.403503770652983,1,3507
"sigma_vec[3,1]",0.309918629539674,0.0891573819714743,0.185213660811217,0.293130599789153,0.53506383208344,1,3001
"sigma_vec[3,2]",0.458895154290823,0.140333679818701,0.270749627745302,0.434130252580403,0.796076766485137,1,1520
"sigma_vec[4,1]",0.351381827913963,0.0948293965326103,0.214999452650257,0.337343783968996,0.583042666851225,1,4234
"sigma_vec[4,2]",0.304592298635578,0.0892847145858789,0.171034541246871,0.290381539863271,0.513500069717718,1,1003
"sigma_vec[5,1]",0.216505495879982,0.067842849655004,0.121465509852628,0.203860631074182,0.379924343568615,1,1817
"sigma_vec[5,2]",0.159547558013236,0.121863365585251,0.0148682642286702,0.131398170385979,0.468783613258692,1,846
"d[1,1]",6.31980920018706,0.279298483819838,5.77159208083929,6.31430873654576,6.86280693669676,1,3194
"d[1,2]",4.73325885376823,0.258602462613085,4.2296821891666,4.72917270240288,5.24191801867474,1,3712
"d[1,3]",4.45790995316163,0.250973524727107,3.96155082392192,4.46638405778972,4.92517150299704,1,1678
"d[1,4]",3.82172324325087,0.246934481993917,3.33088658286199,3.82777192454471,4.30155344089821,1,3051
"d[1,5]",4.72191416205075,0.2530462694062,4.21712194344253,4.72475161448313,5.20771062981797,1,6173
"d[1,6]",4.22399095877417,0.269540863653747,3.68354404645438,4.22938772554244,4.74365139318063,1,5056
"d[1,7]",3.31251861481815,0.235382475897171,2.83673067886749,3.31939671322084,3.7677185143857,1,2921
